2026-07-18T16:26:09+0000 | INFO    | sentinel.md.simulate | PHF6_star: simulated 0.20335 ns (101675 steps @ 2.0 fs) in 403.1s wall-clock (242.1 steps/s measured on this CPU).
2026-07-18T16:26:09+0000 | INFO    | __main__ | running fibril growing-tip MD...
2026-07-18T16:26:09+0000 | INFO    | sentinel.md.simulate | 2280 atoms > 800: using CutoffNonPeriodic (1.5 nm) instead of all-pairs NoCutoff.
2026-07-18T16:27:50+0000 | WARNING | sentinel.md.simulate | 5O3L_fibril_tip: target 1.0 ns would take ~111110s at 4.5 steps/s on this CPU; capping to a 300s budget (1350 steps) and logging the ACTUAL ns simulated, not the target.
2026-07-18T16:32:23+0000 | INFO    | sentinel.md.simulate | 5O3L_fibril_tip: simulated 0.00270 ns (1350 steps @ 2.0 fs) in 273.2s wall-clock (4.5 steps/s measured on this CPU).
2026-07-18T16:32:23+0000 | INFO    | __main__ | PHF6: 0.1816 ns simulated (target 2.0 ns), mean RMSD=0.104 nm, mean Rg=0.637 nm, mean beta-fraction=0.000
2026-07-18T16:32:23+0000 | INFO    | __main__ | PHF6_star: 0.20335 ns simulated (target 2.0 ns), mean RMSD=0.127 nm, mean Rg=0.643 nm, mean beta-fraction=0.000
2026-07-18T16:32:23+0000 | INFO    | __main__ | fibril_tip: 0.0027 ns simulated (target 1.0 ns), mean RMSD=0.088 nm, mean Rg=2.362 nm, mean beta-fraction=0.489
2026-07-18T16:32:24+0000 | INFO    | __main__ | design target spec: 15 hotspots, 48 rigid anchors, 10 overlap (hotspot AND rigid) -> 10 conditioning residues, 8-fold negative-design panel.
2026-07-18T16:32:29+0000 | INFO    | __main__ | running active-learning design loop...
2026-07-18T16:32:34+0000 | INFO    | __main__ | [active_learning] round 0 cand 0: backbone=r0_c0_helix_strand_helix n_designs=4 best_score=0.1041
2026-07-18T16:32:38+0000 | INFO    | __main__ | [active_learning] round 0 cand 1: backbone=r0_c1_helix_hairpin n_designs=4 best_score=0.1971
2026-07-18T16:32:42+0000 | INFO    | __main__ | [active_learning] round 0 cand 2: backbone=r0_c2_helix_strand_helix n_designs=4 best_score=0.2114
2026-07-18T16:32:47+0000 | INFO    | __main__ | [active_learning] round 0 cand 3: backbone=r0_c3_three_helix_bundle n_designs=4 best_score=0.1365
2026-07-18T16:32:52+0000 | INFO    | __main__ | [active_learning] round 0 cand 4: backbone=r0_c4_long_helix_capper n_designs=4 best_score=0.2731
2026-07-18T16:32:56+0000 | INFO    | __main__ | [active_learning] round 0 cand 5: backbone=r0_c5_helix_strand_helix n_designs=4 best_score=0.0075
2026-07-18T16:33:00+0000 | INFO    | __main__ | [active_learning] round 0 cand 6: backbone=r0_c6_helix_strand_helix n_designs=4 best_score=0.1358
2026-07-18T16:33:05+0000 | INFO    | __main__ | [active_learning] round 0 cand 7: backbone=r0_c7_long_helix_capper n_designs=4 best_score=0.2614
2026-07-18T16:33:05+0000 | INFO    | __main__ | [active_learning] round 0 complete: round_best=0.2731, cumulative_best=0.2731
2026-07-18T16:33:10+0000 | INFO    | __main__ | [active_learning] round 1 cand 0: backbone=r1_c0_three_helix_bundle n_designs=4 best_score=0.1527
2026-07-18T16:33:14+0000 | INFO    | __main__ | [active_learning] round 1 cand 1: backbone=r1_c1_helix_hairpin n_designs=4 best_score=0.1307
2026-07-18T16:33:19+0000 | INFO    | __main__ | [active_learning] round 1 cand 2: backbone=r1_c2_helix_strand_helix n_designs=4 best_score=0.1409
2026-07-18T16:33:23+0000 | INFO    | __main__ | [active_learning] round 1 cand 3: backbone=r1_c3_helix_strand_helix n_designs=4 best_score=0.2022
2026-07-18T16:33:28+0000 | INFO    | __main__ | [active_learning] round 1 cand 4: backbone=r1_c4_helix_strand_helix n_designs=4 best_score=0.1135
2026-07-18T16:33:32+0000 | INFO    | __main__ | [active_learning] round 1 cand 5: backbone=r1_c5_helix_hairpin n_designs=4 best_score=0.2010
2026-07-18T16:33:37+0000 | INFO    | __main__ | [active_learning] round 1 cand 6: backbone=r1_c6_three_helix_bundle n_designs=4 best_score=0.0835
2026-07-18T16:33:41+0000 | INFO    | __main__ | [active_learning] round 1 cand 7: backbone=r1_c7_helix_hairpin n_designs=4 best_score=0.0599
2026-07-18T16:33:41+0000 | INFO    | __main__ | [active_learning] round 1 complete: round_best=0.2022, cumulative_best=0.2731
2026-07-18T16:33:45+0000 | INFO    | __main__ | [active_learning] round 2 cand 0: backbone=r2_c0_helix_strand_helix n_designs=4 best_score=0.1855
2026-07-18T16:33:50+0000 | INFO    | __main__ | [active_learning] round 2 cand 1: backbone=r2_c1_helix_strand_helix n_designs=4 best_score=0.2101
2026-07-18T16:33:54+0000 | INFO    | __main__ | [active_learning] round 2 cand 2: backbone=r2_c2_helix_strand_helix n_designs=4 best_score=0.1630
2026-07-18T16:33:58+0000 | INFO    | __main__ | [active_learning] round 2 cand 3: backbone=r2_c3_three_helix_bundle n_designs=4 best_score=0.1410
2026-07-18T16:34:03+0000 | INFO    | __main__ | [active_learning] round 2 cand 4: backbone=r2_c4_helix_strand_helix n_designs=4 best_score=0.1504
2026-07-18T16:34:07+0000 | INFO    | __main__ | [active_learning] round 2 cand 5: backbone=r2_c5_helix_strand_helix n_designs=4 best_score=0.1164
2026-07-18T16:34:12+0000 | INFO    | __main__ | [active_learning] round 2 cand 6: backbone=r2_c6_long_helix_capper n_designs=4 best_score=0.2311
2026-07-18T16:34:16+0000 | INFO    | __main__ | [active_learning] round 2 cand 7: backbone=r2_c7_helix_strand_helix n_designs=4 best_score=0.1370
2026-07-18T16:34:16+0000 | INFO    | __main__ | [active_learning] round 2 complete: round_best=0.2311, cumulative_best=0.2731
2026-07-18T16:34:21+0000 | INFO    | __main__ | [active_learning] round 3 cand 0: backbone=r3_c0_long_helix_capper n_designs=4 best_score=0.2770
2026-07-18T16:34:25+0000 | INFO    | __main__ | [active_learning] round 3 cand 1: backbone=r3_c1_long_helix_capper n_designs=4 best_score=0.2112
